date,price,last_update
2026-04-01,2.269,2026-04-01T12:05:33+02:00
2026-04-02,2.299,2026-04-02T12:06:54+02:00
2026-04-03,2.359,2026-04-03T12:07:56+02:00
2026-04-04,2.369,2026-04-04T12:04:54+02:00
2026-04-05,2.369,2026-04-05T12:07:49+02:00
2026-04-06,2.369,2026-04-06T12:03:57+02:00
2026-04-07,2.409,2026-04-07T12:05:17+02:00
2026-04-08,2.399,2026-04-08T12:11:24+02:00
2026-04-09,2.329,2026-04-09T12:07:09+02:00
2026-04-10,2.079,2026-04-10T09:57:03+02:00
2026-04-11,2.369,2026-04-11T12:05:21+02:00
2026-04-12,2.069,2026-04-12T10:25:41+02:00
2026-04-13,2.229,2026-04-13T12:14:32+02:00
2026-04-14,2.109,2026-04-14T11:17:33+02:00
2026-04-15,2.089,2026-04-15T11:07:26+02:00
2026-04-16,2.069,2026-04-16T10:58:59+02:00
2026-04-17,2.199,2026-04-17T12:10:14+02:00
