date,price,last_update
2026-04-01,2.419,2026-04-01T12:04:33+02:00
2026-04-02,2.519,2026-04-02T12:06:54+02:00
2026-04-03,2.449,2026-04-03T12:03:51+02:00
2026-04-04,2.459,2026-04-04T12:05:55+02:00
2026-04-05,2.489,2026-04-05T12:04:45+02:00
2026-04-06,2.469,2026-04-06T12:04:58+02:00
2026-04-07,2.469,2026-04-07T12:04:17+02:00
2026-04-08,2.389,2026-04-08T12:00:00+02:00
2026-04-09,2.359,2026-04-09T07:41:11+02:00
2026-04-10,2.279,2026-04-10T08:10:53+02:00
2026-04-11,2.259,2026-04-11T09:58:23+02:00
2026-04-12,2.259,2026-04-12T09:55:15+02:00
2026-04-13,2.279,2026-04-13T12:04:19+02:00
2026-04-14,2.269,2026-04-14T08:49:42+02:00
2026-04-15,2.249,2026-04-15T07:40:16+02:00
2026-04-16,2.239,2026-04-16T08:40:16+02:00
2026-04-17,2.229,2026-04-17T07:22:50+02:00
2026-04-18,2.229,2026-04-17T18:57:33+02:00
2026-04-19,2.179,2026-04-19T07:38:42+02:00
2026-04-20,2.179,2026-04-20T07:22:43+02:00
2026-04-21,2.119,2026-04-21T11:53:13+02:00
2026-04-22,2.189,2026-04-22T12:07:35+02:00
2026-04-23,2.199,2026-04-23T12:04:39+02:00
2026-04-24,2.279,2026-04-24T12:04:44+02:00
2026-04-25,2.229,2026-04-25T12:08:23+02:00
2026-04-26,2.239,2026-04-26T12:04:56+02:00
2026-04-27,2.319,2026-04-27T12:03:47+02:00
2026-04-28,2.239,2026-04-28T12:05:02+02:00
2026-04-29,2.309,2026-04-29T12:07:35+02:00
2026-04-30,2.279,2026-04-30T12:07:37+02:00
2026-05-01,2.039,2026-05-01T12:05:22+02:00
2026-05-02,2.039,2026-05-02T12:07:36+02:00
2026-05-03,2.039,2026-05-03T12:07:40+02:00
