date,price,last_update
2026-07-10,2.179,2026-07-10T12:02:25+02:00
2026-07-11,2.159,2026-07-11T12:03:17+02:00
2026-07-12,2.159,2026-07-12T12:02:19+02:00
2026-07-13,2.149,2026-07-13T12:01:45+02:00
2026-07-14,2.219,2026-07-14T12:03:18+02:00
2026-07-15,2.299,2026-07-15T12:02:36+02:00
2026-07-16,2.289,2026-07-16T12:01:59+02:00
2026-07-17,2.309,2026-07-17T12:01:48+02:00
2026-07-18,2.299,2026-07-18T12:03:51+02:00
2026-07-19,2.309,2026-07-19T12:01:40+02:00
2026-07-20,2.309,2026-07-20T12:01:34+02:00
2026-07-21,2.319,2026-07-21T12:02:55+02:00
2026-07-22,2.319,2026-07-22T12:02:12+02:00
