date,price,last_update
2026-04-01,2.529,2026-04-01T12:12:43+02:00
2026-04-02,2.599,2026-04-02T12:06:54+02:00
2026-04-03,2.549,2026-04-03T12:06:55+02:00
2026-04-04,2.549,2026-04-04T12:06:56+02:00
2026-04-05,2.549,2026-04-05T12:07:49+02:00
2026-04-06,2.549,2026-04-06T12:06:59+02:00
2026-04-07,2.549,2026-04-07T12:07:20+02:00
2026-04-08,2.519,2026-04-08T12:08:19+02:00
2026-04-09,2.509,2026-04-08T14:28:42+02:00
2026-04-10,2.479,2026-04-09T14:26:40+02:00
2026-04-11,2.449,2026-04-10T12:52:15+02:00
2026-04-14,2.519,2026-04-14T12:07:41+02:00
2026-04-15,2.559,2026-04-15T12:09:38+02:00
2026-04-16,2.559,2026-04-16T12:07:29+02:00
2026-04-17,2.569,2026-04-17T12:07:10+02:00
2026-04-18,2.529,2026-04-18T12:07:53+02:00
2026-04-19,2.529,2026-04-19T12:07:56+02:00
2026-04-20,2.579,2026-04-20T12:06:54+02:00
2026-04-21,2.549,2026-04-21T12:13:31+02:00
2026-04-22,2.539,2026-04-22T12:13:39+02:00
2026-04-23,2.559,2026-04-23T12:07:41+02:00
2026-04-24,2.569,2026-04-24T12:08:49+02:00
2026-04-25,2.589,2026-04-25T12:08:23+02:00
