date,price,last_update
2026-04-01,2.189,2026-04-01T12:07:36+02:00
2026-04-02,2.189,2026-04-02T12:00:41+02:00
2026-04-03,2.269,2026-04-03T12:07:56+02:00
2026-04-04,2.279,2026-04-04T12:06:56+02:00
2026-04-05,2.279,2026-04-05T12:32:07+02:00
2026-04-06,2.319,2026-04-06T12:06:59+02:00
2026-04-07,2.319,2026-04-07T12:13:26+02:00
2026-04-08,2.259,2026-04-08T12:12:25+02:00
2026-04-09,2.189,2026-04-09T12:07:09+02:00
2026-04-10,2.169,2026-04-10T12:13:29+02:00
2026-04-11,2.169,2026-04-11T12:13:29+02:00
2026-04-12,2.029,2026-04-12T07:38:03+02:00
2026-04-13,2.169,2026-04-13T12:13:30+02:00
2026-04-14,2.159,2026-04-14T12:14:51+02:00
2026-04-15,2.169,2026-04-15T12:13:43+02:00
2026-04-16,2.149,2026-04-16T12:07:29+02:00
2026-04-17,2.149,2026-04-17T12:13:17+02:00
2026-04-18,2.159,2026-04-18T12:11:56+02:00
2026-04-19,2.029,2026-04-18T13:25:04+02:00
2026-04-20,2.159,2026-04-20T12:12:59+02:00
2026-04-21,2.119,2026-04-21T12:12:30+02:00
2026-04-22,2.109,2026-04-22T12:07:35+02:00
2026-04-23,2.099,2026-04-23T12:12:44+02:00
2026-04-24,2.129,2026-04-24T12:12:52+02:00
2026-04-25,2.119,2026-04-25T12:08:23+02:00
2026-04-26,2.019,2026-04-25T14:31:21+02:00
2026-04-27,2.119,2026-04-27T12:08:51+02:00
2026-04-28,2.119,2026-04-28T12:08:05+02:00
