date,price,last_update
2026-04-04,2.170,2026-04-04T12:00:00+02:00
2026-04-05,2.170,2026-04-05T12:00:00+02:00
2026-04-06,2.170,2026-04-06T12:00:00+02:00
2026-04-09,2.200,2026-04-08T12:03:10+02:00
2026-04-11,2.070,2026-04-11T08:48:18+02:00
2026-04-12,2.070,2026-04-11T08:48:18+02:00
2026-04-17,2.070,2026-04-17T09:16:57+02:00
2026-04-18,2.070,2026-04-17T09:16:57+02:00
2026-04-29,2.070,2026-04-29T09:03:44+02:00
2026-04-30,2.070,2026-04-29T09:03:44+02:00
2026-05-07,2.010,2026-05-06T15:40:49+02:00
2026-05-10,1.950,2026-05-10T09:31:59+02:00
2026-05-11,1.950,2026-05-10T09:31:59+02:00
2026-05-31,1.890,2026-05-31T10:00:23+02:00
2026-06-01,1.890,2026-05-31T10:00:23+02:00
2026-06-08,1.890,2026-06-08T11:57:40+02:00
2026-06-09,1.890,2026-06-09T04:11:34+02:00
2026-06-10,1.890,2026-06-09T04:11:34+02:00
2026-06-11,1.890,2026-06-11T06:59:17+02:00
2026-06-12,1.890,2026-06-11T06:59:17+02:00
2026-06-14,1.890,2026-06-14T04:11:45+02:00
2026-06-15,1.890,2026-06-15T07:50:06+02:00
2026-06-16,1.890,2026-06-15T06:01:23+02:00
2026-06-17,1.890,2026-06-16T13:37:13+02:00
2026-06-19,1.810,2026-06-19T10:15:07+02:00
2026-06-20,1.810,2026-06-19T10:15:07+02:00
2026-06-29,1.810,2026-06-29T07:45:19+02:00
2026-06-30,1.810,2026-06-29T07:45:19+02:00
2026-07-02,1.910,2026-07-01T12:22:14+02:00
2026-07-07,1.970,2026-07-06T12:11:12+02:00
2026-07-15,2.010,2026-07-14T12:05:20+02:00
2026-07-17,2.060,2026-07-16T12:10:08+02:00
2026-07-19,2.110,2026-07-18T12:05:52+02:00
2026-07-21,2.140,2026-07-20T12:11:43+02:00
