date,price,last_update
2026-04-01,2.089,2026-04-01T10:37:12+02:00
2026-04-02,2.239,2026-04-02T12:44:24+02:00
2026-04-03,2.169,2026-04-03T12:00:00+02:00
2026-04-04,2.269,2026-04-04T12:03:49+02:00
2026-04-05,2.299,2026-04-05T12:07:49+02:00
2026-04-06,2.299,2026-04-06T12:04:58+02:00
2026-04-07,2.279,2026-04-07T12:03:16+02:00
2026-04-08,2.219,2026-04-08T12:07:18+02:00
2026-04-09,2.309,2026-04-09T12:01:58+02:00
2026-04-10,2.299,2026-04-10T12:08:25+02:00
2026-04-11,2.329,2026-04-11T12:03:19+02:00
2026-04-12,2.289,2026-04-12T12:03:22+02:00
2026-04-13,2.289,2026-04-13T12:04:19+02:00
2026-04-14,2.289,2026-04-14T12:04:37+02:00
2026-04-15,2.309,2026-04-15T12:04:33+02:00
2026-04-16,2.309,2026-04-16T12:09:30+02:00
2026-04-17,2.309,2026-04-17T12:05:07+02:00
2026-04-18,2.289,2026-04-18T12:03:50+02:00
2026-04-19,2.289,2026-04-19T12:07:56+02:00
2026-04-20,2.289,2026-04-20T12:03:51+02:00
2026-04-21,2.289,2026-04-21T12:03:23+02:00
2026-04-22,2.289,2026-04-22T12:11:38+02:00
2026-04-23,2.289,2026-04-23T12:04:39+02:00
2026-04-24,2.299,2026-04-24T12:02:43+02:00
2026-04-25,2.299,2026-04-25T12:03:19+02:00
2026-04-26,2.319,2026-04-26T12:06:58+02:00
2026-04-27,2.309,2026-04-27T12:03:47+02:00
2026-04-28,2.309,2026-04-28T12:02:59+02:00
2026-04-29,2.309,2026-04-29T12:01:29+02:00
2026-04-30,2.319,2026-04-30T12:02:32+02:00
2026-05-01,2.199,2026-05-01T12:04:19+02:00
