date,price,last_update
2026-04-01,2.109,2026-04-01T12:29:16+02:00
2026-04-02,2.129,2026-04-02T12:16:09+02:00
2026-04-03,2.159,2026-04-03T12:15:18+02:00
2026-04-04,2.169,2026-04-04T12:15:09+02:00
2026-04-05,2.179,2026-04-05T12:20:57+02:00
2026-04-06,2.179,2026-04-06T12:16:09+02:00
2026-04-07,2.189,2026-04-07T12:14:27+02:00
2026-04-08,2.189,2026-04-08T12:15:28+02:00
2026-04-09,2.169,2026-04-08T16:05:47+02:00
2026-04-10,2.149,2026-04-10T09:35:32+02:00
2026-04-11,2.129,2026-04-11T09:40:06+02:00
2026-04-12,2.169,2026-04-12T12:14:31+02:00
2026-04-13,2.139,2026-04-13T09:50:41+02:00
2026-04-14,2.109,2026-04-13T22:55:23+02:00
