date,price,last_update
2026-04-01,2.189,2026-04-01T12:00:00+02:00
2026-04-02,2.089,2026-04-02T12:00:00+02:00
2026-04-03,2.219,2026-04-03T14:26:13+02:00
2026-04-04,2.139,2026-04-04T15:30:21+02:00
2026-04-05,2.139,2026-04-05T12:00:00+02:00
2026-04-06,2.189,2026-04-06T19:01:03+02:00
2026-04-07,2.149,2026-04-07T17:49:11+02:00
2026-04-08,2.099,2026-04-08T12:00:00+02:00
2026-04-09,2.059,2026-04-09T10:31:22+02:00
2026-04-10,2.059,2026-04-10T08:21:05+02:00
2026-04-11,2.059,2026-04-11T11:14:34+02:00
2026-04-12,2.049,2026-04-12T09:19:43+02:00
2026-04-13,2.049,2026-04-12T09:19:43+02:00
2026-04-14,2.209,2026-04-14T12:11:48+02:00
