date,price,last_update
2026-04-01,2.379,2026-04-01T12:11:41+02:00
2026-04-02,2.479,2026-04-02T12:13:00+02:00
2026-04-03,2.349,2026-04-03T12:00:00+02:00
2026-04-04,2.479,2026-04-04T12:13:06+02:00
2026-04-05,2.479,2026-04-05T12:12:52+02:00
2026-04-06,2.479,2026-04-06T12:12:05+02:00
2026-04-07,2.479,2026-04-07T12:13:26+02:00
2026-04-08,2.499,2026-04-08T12:12:25+02:00
2026-04-09,2.479,2026-04-09T12:14:19+02:00
2026-04-10,2.299,2026-04-10T12:12:29+02:00
2026-04-11,2.299,2026-04-11T12:13:29+02:00
2026-04-12,2.299,2026-04-12T12:12:29+02:00
2026-04-13,2.399,2026-04-13T12:13:30+02:00
2026-04-14,2.329,2026-04-14T12:12:48+02:00
2026-04-15,2.239,2026-04-15T12:13:43+02:00
2026-04-16,2.239,2026-04-16T12:13:36+02:00
2026-04-17,2.199,2026-04-17T12:12:16+02:00
2026-04-18,2.229,2026-04-18T12:11:56+02:00
2026-04-19,2.229,2026-04-19T12:13:00+02:00
2026-04-20,2.259,2026-04-20T12:14:01+02:00
2026-04-21,2.149,2026-04-21T12:12:30+02:00
2026-04-22,2.249,2026-04-22T12:11:38+02:00
