date,price,last_update
2026-04-01,2.133,2026-04-01T12:02:27+02:00
2026-04-02,2.173,2026-04-02T12:13:00+02:00
2026-04-03,2.173,2026-04-03T12:03:51+02:00
2026-04-04,2.233,2026-04-04T12:01:48+02:00
2026-04-05,2.193,2026-04-05T12:01:43+02:00
2026-04-06,2.193,2026-04-06T12:00:00+02:00
2026-04-07,2.999,2026-04-07T12:02:15+02:00
2026-04-08,2.999,2026-04-08T12:00:00+02:00
2026-04-09,2.999,2026-04-09T11:35:29+02:00
2026-04-10,2.999,2026-04-10T10:31:40+02:00
2026-04-11,2.999,2026-04-10T12:35:53+02:00
2026-04-12,2.999,2026-04-12T08:01:23+02:00
2026-04-13,2.999,2026-04-12T08:01:23+02:00
2026-04-14,2.999,2026-04-13T12:03:17+02:00
2026-04-15,2.999,2026-04-15T10:17:26+02:00
2026-04-16,2.999,2026-04-16T11:33:47+02:00
2026-04-17,2.999,2026-04-17T09:01:44+02:00
2026-04-18,2.999,2026-04-18T09:47:44+02:00
2026-04-19,2.999,2026-04-19T09:07:07+02:00
2026-04-20,2.999,2026-04-19T09:07:07+02:00
2026-04-21,2.999,2026-04-21T05:46:02+02:00
2026-04-22,2.999,2026-04-21T13:34:51+02:00
2026-04-23,2.999,2026-04-22T12:54:18+02:00
2026-04-24,2.999,2026-04-24T09:25:24+02:00
2026-04-25,2.999,2026-04-25T06:27:40+02:00
2026-04-26,2.999,2026-04-26T09:20:41+02:00
2026-04-27,2.999,2026-04-26T09:20:41+02:00
2026-04-28,2.999,2026-04-28T10:51:55+02:00
2026-04-29,2.163,2026-04-29T12:01:29+02:00
2026-04-30,2.183,2026-04-30T12:01:31+02:00
2026-05-01,2.113,2026-05-01T12:02:18+02:00
2026-05-02,2.083,2026-05-02T12:01:14+02:00
2026-05-03,2.143,2026-05-03T12:01:27+02:00
2026-05-04,2.183,2026-05-04T12:02:54+02:00
2026-05-05,2.043,2026-05-05T12:14:05+02:00
2026-05-06,2.023,2026-05-06T12:04:49+02:00
