date,price,last_update
2026-04-01,2.349,2026-04-01T12:02:27+02:00
2026-04-02,2.499,2026-04-02T12:02:48+02:00
2026-04-03,2.389,2026-04-03T12:02:50+02:00
2026-04-04,2.389,2026-04-04T12:00:46+02:00
2026-04-05,2.389,2026-04-05T11:58:41+02:00
2026-04-06,2.469,2026-04-06T12:00:55+02:00
2026-04-07,2.469,2026-04-07T12:01:14+02:00
2026-04-08,2.389,2026-04-07T17:46:08+02:00
2026-04-09,2.289,2026-04-09T10:16:03+02:00
2026-04-10,2.259,2026-04-09T19:58:24+02:00
2026-04-11,2.259,2026-04-11T09:13:43+02:00
2026-04-12,2.339,2026-04-12T12:05:23+02:00
2026-04-13,2.339,2026-04-13T12:02:16+02:00
2026-04-14,2.239,2026-04-14T12:07:41+02:00
2026-04-15,2.209,2026-04-15T12:01:29+02:00
2026-04-16,2.249,2026-04-16T12:04:25+02:00
2026-04-17,2.249,2026-04-17T12:10:14+02:00
2026-04-18,2.249,2026-04-18T12:04:51+02:00
2026-04-19,2.249,2026-04-19T12:03:52+02:00
2026-04-20,2.189,2026-04-20T12:03:51+02:00
2026-04-21,2.079,2026-04-21T08:44:03+02:00
2026-04-22,2.219,2026-04-22T12:05:33+02:00
2026-04-23,2.199,2026-04-23T12:04:39+02:00
2026-04-24,2.219,2026-04-24T12:04:44+02:00
2026-04-25,2.269,2026-04-25T12:04:20+02:00
2026-04-26,2.289,2026-04-26T12:04:56+02:00
