date,price,last_update
2026-04-01,2.159,2026-04-01T12:07:36+02:00
2026-04-02,2.099,2026-04-02T12:00:41+02:00
2026-04-03,2.139,2026-04-03T12:13:07+02:00
2026-04-04,2.139,2026-04-04T12:06:56+02:00
2026-04-05,2.159,2026-04-05T12:14:53+02:00
2026-04-06,2.179,2026-04-06T12:13:06+02:00
2026-04-07,2.099,2026-04-07T12:07:20+02:00
2026-04-08,2.119,2026-04-08T12:07:18+02:00
2026-04-09,2.069,2026-04-09T12:07:09+02:00
2026-04-10,2.079,2026-04-10T12:13:29+02:00
2026-04-11,2.109,2026-04-11T12:13:29+02:00
2026-04-12,2.029,2026-04-12T09:08:26+02:00
2026-04-13,2.139,2026-04-13T12:13:30+02:00
2026-04-14,2.139,2026-04-14T12:14:51+02:00
2026-04-15,2.119,2026-04-15T12:07:37+02:00
