date,price,last_update
2026-04-01,2.139,2026-04-01T12:00:00+02:00
2026-04-02,2.139,2026-04-02T12:08:56+02:00
2026-04-03,2.139,2026-04-03T12:00:00+02:00
2026-04-04,2.139,2026-04-04T12:00:00+02:00
2026-04-05,2.139,2026-04-05T12:00:00+02:00
2026-04-06,2.179,2026-04-06T12:04:58+02:00
2026-04-07,2.199,2026-04-07T12:03:16+02:00
2026-04-08,2.199,2026-04-07T12:03:16+02:00
2026-04-09,2.139,2026-04-09T10:54:45+02:00
2026-04-10,2.139,2026-04-09T10:54:45+02:00
2026-04-11,2.099,2026-04-10T15:30:58+02:00
2026-04-16,2.089,2026-04-15T17:03:42+02:00
2026-04-18,2.069,2026-04-17T13:23:43+02:00
2026-04-22,2.059,2026-04-21T15:06:22+02:00
2026-04-24,2.109,2026-04-24T12:03:44+02:00
2026-04-25,2.109,2026-04-24T12:03:44+02:00
2026-04-30,2.129,2026-04-29T12:07:35+02:00
2026-05-02,2.049,2026-05-01T15:09:40+02:00
2026-05-06,2.019,2026-05-06T10:12:51+02:00
2026-05-07,1.999,2026-05-07T10:48:32+02:00
2026-05-08,1.999,2026-05-07T10:48:32+02:00
2026-05-18,2.019,2026-05-18T10:55:24+02:00
2026-05-19,2.019,2026-05-18T10:55:24+02:00
2026-05-22,2.019,2026-05-22T06:01:15+02:00
