date,price,last_update
2026-04-01,2.069,2026-04-01T12:00:00+02:00
2026-04-02,2.139,2026-04-02T12:01:46+02:00
2026-04-03,2.189,2026-04-03T12:03:51+02:00
2026-04-04,2.189,2026-04-04T12:00:00+02:00
2026-04-05,2.189,2026-04-05T12:04:45+02:00
2026-04-06,2.189,2026-04-06T12:00:00+02:00
2026-04-07,2.189,2026-04-07T12:00:00+02:00
2026-04-13,2.149,2026-04-13T08:48:29+02:00
2026-04-14,2.149,2026-04-13T13:28:20+02:00
2026-04-15,2.139,2026-04-14T17:28:52+02:00
2026-04-16,2.099,2026-04-15T20:19:16+02:00
2026-04-20,2.069,2026-04-20T09:26:03+02:00
2026-04-21,2.069,2026-04-20T09:26:03+02:00
2026-04-22,2.049,2026-04-21T17:38:52+02:00
2026-05-02,2.099,2026-05-01T12:02:18+02:00
2026-05-05,2.039,2026-05-04T13:38:34+02:00
2026-05-08,1.979,2026-05-07T12:18:22+02:00
2026-05-13,1.959,2026-05-13T09:31:52+02:00
2026-05-14,1.959,2026-05-13T09:31:52+02:00
